text
【2016年夏、現代ビジネスは生まれ変わります。】 http://goo.gl/8xrzDv 「私たちは、アクセス数のために仕事するのをやめます」宣言。「SNSでバズる記事よりも、あなたの心の中でバズる記事を作ります」。期待。
【ネットテレビ局「ＡｂｅｍａＴＶ」：藤田社長、開局に手応え　「信頼されるメディアに」】 http://goo.gl/a66pLQ 「新製品を広く告知していこうとした時には受け身のメディアでなければいけない」
【村上春樹とイラストレーターをテーマにした初の展覧会 和田誠や佐々木マキの作品を展示】 http://goo.gl/anNDPH ちひろ美術館・東京で開催。5月25日から8月7日まで。行ってみよう。
【紀伊国屋新宿南店、事実上の撤退へ　売り場を大幅に縮小】 http://goo.gl/Sq23cV これは困る…来年から新宿新南口のミライナタワーに仕事場が移転するのに…たくさん利用しようと思ってたんだけど。
【ネットで有名になるリスク - シロクマの屑籠】 http://goo.gl/SzX3YD 面白い。
【ジブリの大博覧会、六本木で開催！『風の谷のナウシカ』から最新作まで30年の歴史に迫る】 http://goo.gl/Aqg5cR 7月7日～9月11日に六本木ヒルズ展望台の東京シティビューで開催。行ってみよう。
【理想の上司フリーザ様のLINEスタンプ登場　「イノベーションが必要ですね」など意識高いセリフも】 http://goo.gl/XR0eIK 「わたしの戦闘力は530000です」や「いちいち癇にさわるヤローだ！！」など原作に登場したセリフもある。
【熊本地震：やっぱりＬＩＮＥか　ＳＮＳが安否確認で活躍】 http://goo.gl/wfV2Bn 「返事はなかったが、『既読』の印がついたので、知人の安全が確認できた」と話す被災者が多い。総務省は非常時の情報伝達手段として注目し、活用に関する検討を重ねている。
地震：「笑」を入れて…ＬＩＮＥでつながる子どもたち】 http://goo.gl/93Losx「笑」を入れるのは、相手が深刻にならないよう気遣ってのことだ。避難所では愚痴も吐けない。でも「友だちとのラインなら、絵文字も使って素直に言いやすい」という。
【まだメルマガで消耗してるの？「LINE@」の開封率が95%くらいで衝撃。-まだ東京で消耗してるの？】 http://goo.gl/5VoJpr イケダハヤトさん( @IHayato )の記事。「友だち数に対するCTRが30%くらい。ここまで開封率＆クリック率が高いとは」
【サイバーエージェントは「発展途上国」--藤田社長の“組織論”】 http://goo.gl/udLqU4 「『調子に乗る』と短期的に輝いて終わる」「ネット業界も経験とか知識とか人脈がある人が活躍する業界に変わりつつあるので、そういう人たちの価値が相対的に上がりつつある」
【スタートトゥデイが自社ブランド立ち上げへ ZOZOTOWNで販売】 http://goo.gl/Z8LOyY 「プライベートブランドを立ち上げる計画を発表。オリジナル商品の販売を予定」。ついに。
【Facebook、ユーザー数16.5億人】 http://goo.gl/C3KZyV 「多くの人々が月間ユーザー数に注目しているが、日間ユーザー数の方が、Facebookの健康状態を正確に反映している」。その通り。DAUは10.9億人。凄すぎる。
【Facebook、モバイル広告が好調で過去最高の増収増益】 http://goo.gl/WTXdsA 「1～3月期の決算は、売上高は52％増の53億8200万ドル、純利益は約3倍の15億1000万ドルと過去最高」。四半期の業績で、この規模は凄い。
