田田,タタ
一人,イチニン
お前ら,オマエラ
就活生,シュウカツセイ
３０,サンゼロ
留学先,リュウガクサキ
０分,ゼロフン
００,ゼロゼロ
系男子,ケイダンシ
俺氏就活,オレシシュウカツ
１０,イチゼロ
((((,カッコカッコカッコカッコ
２０,ニゼロ
人人人人,ヒトビトヒトビト
一回,イチカイ
具体的,グタイテキ
１５,イチゴ
同期入社,ドウキニュウシャ
最終的,サイシュウテキ
１時間,イチジカン
友達いない,トモダチイナイ
短冊メーカー,タンザクメーカー
本名アカ,ホンミョウアカ
０円,ゼロエン
二種類,ニシュルイ
ドル札,ドルサツ
年ぶり,ネンブリ
一度,イチド
ホイップクリーム,ホイップクリーム
二回,ニカイ
彼氏持ち,カレシモチ
万円,マンエン
成れの果てさん,ナレノハテサン
グループメンバー,グループメンバー
内定式二次会,ナイテイシキニジカイ
有料スタンプ,ユウリョウスタンプ
そんとき,ソントキ
本名Twitter,ホンミョウツイッター
大手企業,オオテキギョウ
１４,イチヨン
０点,ゼロテン
二年,ニネン
絶望的,ゼツボウテキ
一歩,イチホ
人様,ニンサマ
成れの果てくん,ナレノハテクン
写真屋,シャシンヤ
１年,イチネン
