赤坂レッドシアター,アカサカレッドシアター
メモリ帯域,メモリタイイキ
帯域ネック,タイイキネック
CPU側,シーピーユーガワ
最適化,サイテキカ
フレームワーク側,フレームワークガワ
感触的,カンショクテキ
ミニバッチ,ミニバッチ
バッチ数,バッチスウ
マルチスレッド,マルチスレッド
倍速,バイソク
生成できるかな,セイセイデキルカナ
発表続き,ハッピョウツヅキ
マルチノード,マルチノード
テスト環境,テストカンキョウ
利用by,リヨウビーワイ
SlideShare,スライドシェア
Shareさん,シェアサン
深層学習,シンソウガクシュウ
学習仕事,ガクシュウシゴト
日本人エンジニア,ニッポンジンエンジニア
CUDA環境,クーダカンキョウ
こちら参照,コチラサンショウ
初期ベクトル,ショキベクトル
CD法,キャッシュディスペンサーホウ
GPU対応,ジーピーユータイオウ
倍位,バイイ
位高速,イコウソク
雑にお酒,ゾウニオサケ
文字単位,モジタンイ
離散的,リサンテキ
web上,ウェブジョウ
深層学習,シンソウガクシュウ
coolidea,クールイデア
コメント生成,コメントセイセイ
人向け,ヒトムケ
ニコニコ語,ニコニコゴ
万件,マンケン
類似画像検索,ルイジガゾウケンサク
画像系,ガゾウケイ
系深層,ケイシンソウ
深層学習,シンソウガクシュウ
時間計測,ジカンケイソク
GPU上,ジーピーユージョウ
GPU上,ジーピーユージョウ
非同期実行,ヒドウキジッコウ
実行時間,ジッコウジカン
NaNチェック,ナンチェック
毎回GPU,マイカイジーピーユー
何年,ナンネン
JIT屋,ジットヤ
屋さん,ヤサン
得居,トクキョ
居さん,キョサン
章分,ショウブン
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
特徴by,トクチョウビーワイ
SlideShare,スライドシェア
Shareさん,シェアサン
あと産総研,アトサンソウケン
いつから,イツカラ
言語獲得by,ゲンゴカクトクビーワイ
SlideShare,スライドシェア
Shareさん,シェアサン
ロビング打ち,ロビングウチ
古典論文,コテンロンブン
会みたい,カイミタイ
IO待ち,イオマチ
描画自体,ビョウガジタイ
CPU消費,シーピーユーショウヒ
日本語入力,ニホンゴニュウリョク
環境設定,カンキョウセッテイ
学習履歴,ガクシュウリレキ
日本語入力,ニホンゴニュウリョク
数秒,スウビョウ
それ以外,ソレイガイ
既存機能,キソンキノウ
メジャーバージョン,メジャーバージョン
既存機能,キソンキノウ
パラメタ付き,パラメタツキ
付き関数,ツキカンスウ
人が社内,ジンガシャナイ
たくさんいたん,タクサンイタン
v2はいつ,ブイツーハイツ
利益最大,リエキサイダイ
最大化,サイダイカ
損失関数,ソンシツカンスウ
機械学習用語,キカイガクシュウヨウゴ
損失関数,ソンシツカンスウ
目的関数,モクテキカンスウ
最小化,サイショウカ
化問題,カモンダイ
最小化,サイショウカ
化問題,カモンダイ
OR系,オーアールケイ
ゲーム木探索,ゲームキタンサク
探索用語,タンサクヨウゴ
目的関数,モクテキカンスウ
最適化用語,サイテキカヨウゴ
入力履歴,ニュウリョクリレキ
なにこれ,ナニコレ
効率的,コウリツテキ
革新的,カクシンテキ
得手不得手,エテフエテ
その他諸々,ソノタモロモロ
それ人間,ソレニンゲン
条件一緒,ジョウケンイッショ
ピザバン,ピザバン
P社,ピーシャ
大変恐縮,タイヘンキョウシュク
プログラム委員,プログラムイイン
DP力,トウロンガタヨロンチョウサリョク
行列演算,ギョウレツエンザン
リモート参加,リモートサンカ
飲み会中継,ノミカイチュウケイ
ポスター中継,ポスターチュウケイ
リモート参加,リモートサンカ
年代的,ネンダイテキ
進小数,シンショウスウ
進小数,シンショウスウ
リモート惚気,リモートノロケ
惚気話,ノロケバナシ
週間分,シュウカンブン
なにげに揚げ物,ナニゲニアゲモノ
分野横断,ブンヤオウダン
横断的,オウダンテキ
P社,ピーシャ
二宮さん,ニノミヤサン
特許検索システム,トッキョケンサクシステム
パット見,パットミル
研究自体,ケンキュウジタイ
弊社アルバイト,ヘイシャアルバイト
論文賞,ロンブンショウ
優秀賞,ユウシュウショウ
若手奨励賞,ワカテショウレイショウ
奨励賞合計,ショウレイショウゴウケイ
みんな優秀,ミンナユウシュウ
局所文脈,キョクショブンミャク
ようよう,ヨウヨウ
語釈分,ゴシャクブン
抽象的,チュウショウテキ
人が日常,ジンガニチジョウ
日常的,ニチジョウテキ
辞書編纂,ジショヘンサン
編纂者,ヘンサンシャ
招待講演,ショウタイコウエン
賞金首,ショウキンクビ
ワンピース以前,ワンピースイゼン
賞金首,ショウキンクビ
さそう,サソウ
石野会,イシノカイ
記号接地,キゴウセッチ
接地問題,セッチモンダイ
いとうこと,イトウコト
クラスラベル,クラスラベル
ラベル付与,ラベルフヨ
